script,font_1,font_2,cosine_similarity,cosine_distance
Arabic,Lateef-SemiBold,MarkaziText-VF,0.9525,0.0475
Arabic,BalooBhaijaan2[wght],Tajawal-Regular,0.9524,0.0476
Arabic,Zain-Bold,Almarai-Bold,0.9523,0.0477
Arabic,Marhey[wght],IBMPlexSansArabic-Regular,0.9522,0.0478
Arabic,Rubik-Italic[wght],Alyamama[wght],0.952,0.048
Arabic,Rubik[wght],Alyamama[wght],0.952,0.048
Arabic,"NotoSansArabicUI[wdth,wght]",BalooBhaijaan2[wght],0.9518,0.0482
Arabic,Rubik[wght],IBMPlexSansArabic-Medium,0.9517,0.0483
Arabic,Rubik-Italic[wght],IBMPlexSansArabic-Medium,0.9517,0.0483
Arabic,IBMPlexSansArabic-ExtraLight,Vazirmatn[wght],0.9516,0.0484
Arabic,Tajawal-Medium,BalooBhaijaan2[wght],0.9514,0.0486
Arabic,PlaypenSansArabic[wght],IBMPlexSansArabic-Light,0.9513,0.0487
Arabic,Mirza-Regular,Harmattan-Medium,0.9512,0.0488
Arabic,MarkaziText-VF,Parastoo[wght],0.9511,0.0489
Arabic,NotoNaskhArabicUI[wght],Alyamama[wght],0.951,0.049
Arabic,Zain-Bold,Almarai-Regular,0.9509,0.0491
Arabic,BonaNovaSC-Bold,ScheherazadeNew-SemiBold,0.9508,0.0492
Arabic,Harmattan-SemiBold,Mirza-Regular,0.9508,0.0492
Arabic,Lateef-Light,Parastoo[wght],0.9508,0.0492
Arabic,IBMPlexSansArabic-ExtraLight,"NotoSansArabic[wdth,wght]",0.9507,0.0493
Arabic,PlaypenSansArabic[wght],Vazirmatn[wght],0.9505,0.0495
Arabic,IBMPlexSansArabic-Medium,"NotoSansArabic[wdth,wght]",0.9505,0.0495
Arabic,Mirza-Regular,Parastoo[wght],0.9502,0.0498
Arabic,ScheherazadeNew-Regular,BonaNova-Regular,0.9501,0.0499
Arabic,ScheherazadeNew-Regular,BonaNovaSC-Regular,0.9501,0.0499
Arabic,BalooBhaijaan2[wght],Marhey[wght],0.95,0.05
Arabic,Alyamama[wght],Vazirmatn[wght],0.9499,0.0501
Arabic,BalooBhaijaan2[wght],PlaypenSansArabic[wght],0.9497,0.0503
Arabic,ScheherazadeNew-Regular,BonaNovaSC-Italic,0.9496,0.0504
Arabic,ScheherazadeNew-Regular,BonaNova-Italic,0.9496,0.0504
Arabic,BonaNovaSC-Bold,Amiri-Bold,0.9495,0.0505
Arabic,Amiri-Regular,BonaNova-Regular,0.9492,0.0508
Arabic,Amiri-Regular,BonaNovaSC-Regular,0.9492,0.0508
Arabic,Almarai-ExtraBold,Zain-Bold,0.949,0.051
Arabic,Almarai-ExtraBold,Zain-Black,0.949,0.051
Arabic,Rubik[wght],PlaypenSansArabic[wght],0.949,0.051
Arabic,Rubik-Italic[wght],PlaypenSansArabic[wght],0.949,0.051
Arabic,Zain-Bold,Tajawal-ExtraBold,0.9487,0.0513
Arabic,Zain-Light,Almarai-Light,0.9486,0.0514
Arabic,Tajawal-ExtraBold,Zain-Black,0.9484,0.0516
Arabic,Harmattan-SemiBold,Mirza-Medium,0.9484,0.0516
Arabic,Tajawal-Regular,IBMPlexSansArabic-Light,0.9483,0.0517
Arabic,Harmattan-Bold,Mirza-Medium,0.948,0.052
Arabic,Almarai-Bold,Zain-Black,0.948,0.052
Arabic,Vazirmatn[wght],"NotoSansArabic[wdth,wght]",0.9478,0.0522
Arabic,AmiriQuran-Regular,BonaNova-Regular,0.9476,0.0524
Arabic,AmiriQuran-Regular,BonaNovaSC-Regular,0.9476,0.0524
Arabic,Harmattan-Bold,Mirza-Regular,0.9475,0.0525
Arabic,Mirza-Regular,Katibeh-Regular,0.9475,0.0525
Arabic,Almarai-ExtraBold,Tajawal-ExtraBold,0.9475,0.0525
Arabic,Alyamama[wght],IBMPlexSansArabic-Regular,0.9472,0.0528
Arabic,PlaypenSansArabic[wght],IBMPlexSansArabic-Bold,0.9472,0.0528
Arabic,Zain-Bold,Tajawal-Bold,0.9472,0.0528
Arabic,BalooBhaijaan2[wght],NotoNaskhArabicUI[wght],0.9471,0.0529
Arabic,Zain-ExtraBold,Tajawal-ExtraBold,0.9471,0.0529
Arabic,BonaNovaSC-Regular,Alyamama[wght],0.947,0.053
Arabic,BonaNova-Regular,Alyamama[wght],0.947,0.053
Arabic,Tajawal-Regular,IBMPlexSansArabic-Regular,0.947,0.053
Arabic,Rubik-Italic[wght],BonaNova-Regular,0.9469,0.0531
Arabic,BonaNovaSC-Regular,Rubik[wght],0.9469,0.0531
Arabic,Rubik-Italic[wght],BonaNovaSC-Regular,0.9469,0.0531
Arabic,Tajawal-Light,Tajawal-Bold,0.9469,0.0531
Arabic,BonaNova-Regular,Rubik[wght],0.9469,0.0531
Arabic,ScheherazadeNew-SemiBold,BonaNova-Regular,0.9468,0.0532
Arabic,ScheherazadeNew-SemiBold,BonaNovaSC-Regular,0.9468,0.0532
Arabic,Almarai-Bold,NotoKufiArabic[wght],0.9468,0.0532
Arabic,Harmattan-Regular,Mirza-Medium,0.9467,0.0533
Arabic,Zain-LightItalic,Zain-Light,0.9465,0.0535
Arabic,Harmattan-Medium,Mirza-Medium,0.9465,0.0535
Arabic,Tajawal-Medium,IBMPlexSansArabic-Regular,0.9461,0.0539
Arabic,Tajawal-Medium,Alyamama[wght],0.946,0.054
Arabic,Marhey[wght],IBMPlexSansArabic-Light,0.9459,0.0541
Arabic,Tajawal-Bold,Zain-Black,0.9456,0.0544
Arabic,ScheherazadeNew-Regular,Amiri-BoldItalic,0.9456,0.0544
Arabic,IBMPlexSansArabic-Bold,Tajawal-ExtraBold,0.9456,0.0544
Arabic,Alyamama[wght],Tajawal-Regular,0.9454,0.0546
Arabic,Changa[wght],Almarai-Bold,0.9453,0.0547
Arabic,Mirza-Medium,Lateef-Bold,0.9451,0.0549
Arabic,Lateef-Medium,MarkaziText[wght],0.945,0.055
Arabic,Zain-ExtraBold,Tajawal-Bold,0.945,0.055
Arabic,Almarai-ExtraBold,Tajawal-Bold,0.945,0.055
Arabic,"NotoSansArabicUI[wdth,wght]",BonaNovaSC-Regular,0.9447,0.0553
Arabic,"NotoSansArabicUI[wdth,wght]",BonaNova-Regular,0.9447,0.0553
Arabic,"CairoPlay[slnt,wght]",NotoKufiArabic[wght],0.9447,0.0553
Arabic,BonaNovaSC-Italic,BonaNova-Regular,0.9446,0.0554
Arabic,Marhey[wght],"NotoSansArabic[wdth,wght]",0.9446,0.0554
Arabic,BonaNovaSC-Italic,BonaNovaSC-Regular,0.9446,0.0554
Arabic,BonaNova-Italic,BonaNova-Regular,0.9446,0.0554
Arabic,BonaNova-Italic,BonaNovaSC-Regular,0.9446,0.0554
Arabic,Zain-ExtraBold,Almarai-Regular,0.9445,0.0555
Arabic,BalooBhaijaan2[wght],Tajawal-Light,0.9443,0.0557
Arabic,NotoNaskhArabic[wght],Vazirmatn[wght],0.9443,0.0557
Arabic,Changa[wght],NotoKufiArabic[wght],0.9442,0.0558
Arabic,Tajawal-Medium,Zain-Bold,0.9441,0.0559
Arabic,Marhey[wght],IBMPlexSansArabic-Medium,0.9441,0.0559
Arabic,IBMPlexSansArabic-ExtraLight,PlaypenSansArabic[wght],0.9441,0.0559
Arabic,Mirza-Regular,Lateef-Bold,0.944,0.056
Arabic,NotoNaskhArabic[wght],Mirza-Medium,0.9439,0.0561
Arabic,CascadiaCode[wght],Lalezar-Regular,0.9438,0.0562
Arabic,CascadiaMono[wght],Lalezar-Regular,0.9438,0.0562
Arabic,Almarai-ExtraBold,Changa[wght],0.9437,0.0563
Arabic,BonaNovaSC-Bold,Vazirmatn[wght],0.9437,0.0563
Arabic,Tajawal-Medium,IBMPlexSansArabic-Light,0.9437,0.0563
Arabic,"NotoSansArabicUI[wdth,wght]",Marhey[wght],0.9437,0.0563
Arabic,Amiri-Italic,Amiri-Bold,0.9436,0.0564
Arabic,BalooBhaijaan2[wght],IBMPlexSansArabic-Bold,0.9436,0.0564
Arabic,NotoNaskhArabic[wght],Rubik[wght],0.9436,0.0564
Arabic,Rubik-Italic[wght],NotoNaskhArabic[wght],0.9436,0.0564
Arabic,BonaNovaSC-Regular,"NotoSansArabic[wdth,wght]",0.9435,0.0565
Arabic,BonaNova-Regular,"NotoSansArabic[wdth,wght]",0.9435,0.0565
Arabic,Alyamama[wght],IBMPlexSansArabic-Light,0.9431,0.0569
Arabic,Lateef-SemiBold,Mirza-Regular,0.9431,0.0569
Arabic,Jomhuria-Regular,Parastoo[wght],0.9431,0.0569
Arabic,IBMPlexSansArabic-Medium,Tajawal-ExtraBold,0.9431,0.0569
Arabic,Tajawal-Medium,Rubik[wght],0.943,0.057
Arabic,Tajawal-Medium,Rubik-Italic[wght],0.943,0.057
Arabic,Tajawal-Medium,IBMPlexSansArabic-Medium,0.943,0.057
Arabic,Lateef-SemiBold,Mirza-Medium,0.9429,0.0571
Arabic,ScheherazadeNew-SemiBold,Amiri-BoldItalic,0.9429,0.0571
Arabic,BalooBhaijaan2[wght],Tajawal-Bold,0.9429,0.0571
Arabic,Tajawal-Bold,IBMPlexSansArabic-Regular,0.9429,0.0571
Arabic,Almarai-ExtraBold,Almarai-Light,0.9427,0.0573
Arabic,IBMPlexSansArabic-Regular,Tajawal-ExtraBold,0.9427,0.0573
Arabic,Tajawal-Medium,Vazirmatn[wght],0.9426,0.0574
Arabic,ScheherazadeNew-Regular,"NotoSansArabic[wdth,wght]",0.9424,0.0576
Arabic,Rubik-Italic[wght],Tajawal-Regular,0.9424,0.0576
Arabic,Rubik[wght],Tajawal-Regular,0.9424,0.0576
Arabic,IBMPlexSansArabic-Medium,Tajawal-Regular,0.9421,0.0579
Arabic,"NotoSansArabicUI[wdth,wght]",BonaNova-Italic,0.9418,0.0582
Arabic,"NotoSansArabicUI[wdth,wght]",BonaNovaSC-Italic,0.9418,0.0582
Arabic,Rubik-Italic[wght],Marhey[wght],0.9416,0.0584
Arabic,Zain-Light,Almarai-Bold,0.9416,0.0584
Arabic,Marhey[wght],Rubik[wght],0.9416,0.0584
Arabic,Mirza-Medium,Parastoo[wght],0.9415,0.0585
Arabic,BalooBhaijaan2[wght],"NotoSansArabic[wdth,wght]",0.9413,0.0587
Arabic,"NotoSansArabicUI[wdth,wght]",IBMPlexSansArabic-Bold,0.9412,0.0588
Arabic,BonaNovaSC-Bold,IBMPlexSansArabic-Regular,0.9412,0.0588
Arabic,IBMPlexSansArabic-ExtraLight,Tajawal-Regular,0.9409,0.0591
Arabic,Tajawal-Bold,IBMPlexSansArabic-Bold,0.9409,0.0591
Arabic,BonaNovaSC-Bold,"NotoSansArabic[wdth,wght]",0.9408,0.0592
Arabic,Vazirmatn[wght],Tajawal-ExtraBold,0.9408,0.0592
Arabic,Almarai-Regular,NotoKufiArabic[wght],0.9406,0.0594
Arabic,Changa[wght],"CairoPlay[slnt,wght]",0.9406,0.0594
Arabic,BonaNovaSC-Regular,Vazirmatn[wght],0.9406,0.0594
Arabic,BonaNova-Regular,Vazirmatn[wght],0.9406,0.0594
Arabic,Tajawal-Bold,Vazirmatn[wght],0.9405,0.0595
Arabic,"NotoSansArabicUI[wdth,wght]",ScheherazadeNew-Regular,0.9405,0.0595
Arabic,Lateef-Medium,MarkaziText-VF,0.9405,0.0595
Arabic,BonaNovaSC-Bold,"NotoSansArabicUI[wdth,wght]",0.9404,0.0596
Arabic,AmiriQuran-Regular,"NotoSansArabic[wdth,wght]",0.9404,0.0596
Arabic,BonaNova-Italic,"NotoSansArabic[wdth,wght]",0.9402,0.0598
Arabic,BonaNovaSC-Italic,"NotoSansArabic[wdth,wght]",0.9402,0.0598
Arabic,Thabit,Lateef-Light,0.94,0.06
Arabic,"NotoSansArabicUI[wdth,wght]",PlaypenSansArabic[wght],0.9399,0.0601
Arabic,Amiri-Italic,ScheherazadeNew-Regular,0.9399,0.0601
Arabic,Tajawal-Medium,IBMPlexSansArabic-Bold,0.9396,0.0604
Arabic,"NotoSansArabicUI[wdth,wght]",Tajawal-Regular,0.9396,0.0604
Arabic,Amiri-Regular,"NotoSansArabic[wdth,wght]",0.9396,0.0604
Arabic,Tajawal-Medium,PlaypenSansArabic[wght],0.9395,0.0605
Arabic,BonaNovaSC-Bold,Rubik[wght],0.9395,0.0605
Arabic,BonaNovaSC-Bold,Rubik-Italic[wght],0.9395,0.0605
Arabic,IBMPlexSansArabic-Medium,Tajawal-Bold,0.9395,0.0605
Arabic,BonaNova-Italic,ScheherazadeNew-SemiBold,0.9394,0.0606
Arabic,BonaNovaSC-Italic,ScheherazadeNew-SemiBold,0.9394,0.0606
Arabic,Tajawal-Regular,Vazirmatn[wght],0.9393,0.0607
Arabic,Rubik-Italic[wght],Tajawal-Light,0.9393,0.0607
Arabic,Tajawal-Light,Rubik[wght],0.9393,0.0607
Arabic,Tajawal-Light,IBMPlexSansArabic-ExtraLight,0.9393,0.0607
Arabic,Tajawal-Bold,Almarai-Bold,0.9393,0.0607
Arabic,Tajawal-Medium,Zain-ExtraBold,0.9391,0.0609
Arabic,Zain-Light,Tajawal-Regular,0.9389,0.0611
Arabic,NotoNaskhArabicUI[wght],Rubik[wght],0.9388,0.0612
Arabic,Rubik-Italic[wght],NotoNaskhArabicUI[wght],0.9388,0.0612
Arabic,Zain-Light,Zain-Black,0.9388,0.0612
Arabic,BonaNovaSC-Bold,Alyamama[wght],0.9388,0.0612
Arabic,IBMPlexSansArabic-Medium,Alyamama[wght],0.9387,0.0613
Arabic,Zain-Light,Zain-Italic,0.9387,0.0613
Arabic,"NotoSansArabicUI[wdth,wght]",Alyamama[wght],0.9386,0.0614
Arabic,Alyamama[wght],Amiri-Bold,0.9385,0.0615
Arabic,Almarai-ExtraBold,IBMPlexSansArabic-Bold,0.9385,0.0615
Arabic,Tajawal-Light,IBMPlexSansArabic-Light,0.9384,0.0616
Arabic,Marhey[wght],PlaypenSansArabic[wght],0.9384,0.0616
Arabic,Rubik-Italic[wght],IBMPlexSansArabic-Bold,0.9381,0.0619
Arabic,Rubik[wght],IBMPlexSansArabic-Bold,0.9381,0.0619
Arabic,Tajawal-Medium,"NotoSansArabicUI[wdth,wght]",0.9379,0.0621
Arabic,Zain-Bold,Almarai-Light,0.9379,0.0621
Arabic,NotoNaskhArabic[wght],BonaNovaSC-Regular,0.9379,0.0621
Arabic,NotoNaskhArabic[wght],BonaNova-Regular,0.9379,0.0621
Arabic,Amiri-Bold,Vazirmatn[wght],0.9379,0.0621
Arabic,Tajawal-Bold,PlaypenSansArabic[wght],0.9378,0.0622
Arabic,Zain-Bold,Tajawal-Regular,0.9378,0.0622
Arabic,Tajawal-Medium,Almarai-Bold,0.9377,0.0623
Arabic,Rakkas-Regular,ArefRuqaaInk-Bold,0.9376,0.0624
Arabic,Rakkas-Regular,ArefRuqaa-Bold,0.9376,0.0624
Arabic,IBMPlexSansArabic-Regular,Zain-Italic,0.9375,0.0625
Arabic,Harmattan-Medium,Parastoo[wght],0.9374,0.0626
Arabic,PlaypenSansArabic[wght],Tajawal-ExtraBold,0.9374,0.0626
Arabic,MarkaziText-VF,Lalezar-Regular,0.9373,0.0627
Arabic,NotoNaskhArabicUI[wght],Mirza-Medium,0.9373,0.0627
Arabic,Zain-LightItalic,IBMPlexSansArabic-Regular,0.9371,0.0629
Arabic,MarkaziText[wght],Lalezar-Regular,0.937,0.063
Arabic,BonaNovaSC-Italic,IBMPlexSansArabic-ExtraLight,0.9369,0.0631
Arabic,AmiriQuran-Regular,BonaNova-Italic,0.9369,0.0631
Arabic,BonaNova-Italic,IBMPlexSansArabic-ExtraLight,0.9369,0.0631
Arabic,AmiriQuran-Regular,BonaNovaSC-Italic,0.9369,0.0631
Arabic,"NotoSansArabicUI[wdth,wght]",Amiri-Bold,0.9368,0.0632
Arabic,Zain-Bold,Zain-Italic,0.9367,0.0633
Arabic,Amiri-BoldItalic,BonaNova-Regular,0.9367,0.0633
Arabic,Amiri-BoldItalic,BonaNovaSC-Regular,0.9367,0.0633
Arabic,NotoNaskhArabic[wght],Amiri-Bold,0.9366,0.0634
Arabic,BonaNovaSC-Bold,PlaypenSansArabic[wght],0.9366,0.0634
Arabic,Harmattan-Regular,Parastoo[wght],0.9366,0.0634
Arabic,Almarai-Bold,Tajawal-Regular,0.9365,0.0635
Arabic,Tajawal-Light,Alyamama[wght],0.9365,0.0635
Arabic,Amiri-Regular,BonaNovaSC-Italic,0.9363,0.0637
Arabic,Almarai-Bold,Tajawal-ExtraBold,0.9363,0.0637
Arabic,Amiri-Regular,BonaNova-Italic,0.9363,0.0637
Arabic,BalooBhaijaan2[wght],Tajawal-ExtraBold,0.9362,0.0638
Arabic,BonaNova-Italic,Vazirmatn[wght],0.936,0.064
Arabic,PlaypenSansArabic[wght],"NotoSansArabic[wdth,wght]",0.936,0.064
Arabic,Almarai-Bold,IBMPlexSansArabic-Regular,0.936,0.064
Arabic,BonaNovaSC-Italic,Vazirmatn[wght],0.936,0.064
Arabic,CascadiaMono[wght],Vazirmatn[wght],0.9359,0.0641
Arabic,BonaNova-Regular,IBMPlexSansArabic-Regular,0.9359,0.0641
Arabic,BonaNovaSC-Bold,Amiri-Regular,0.9359,0.0641
Arabic,Beiruti[wght],Lalezar-Regular,0.9359,0.0641
Arabic,CascadiaCode[wght],Vazirmatn[wght],0.9359,0.0641
